Wall time,Step,Value
1475836183.48329,26,18988.357421875
1475836183.57581,58,8185.6064453125
1475836183.58656,61,7631.9379882813
1475836183.64431,84,5852.7788085938
1475836183.64607,85,5445.021484375
1475836183.77488,144,4706.0053710938
1475836183.82541,172,4485.3232421875
1475836183.9236,217,4649.3022460938
1475836184.0171,266,4695.4243164063
1475836186.16638,368,4301.2241210938
1475836186.26875,404,4176.5185546875
1475836187.9416,515,4351.5639648438
1475836189.80861,552,4480.8564453125
1475836189.85227,565,4443.7978515625
1475836189.92659,590,4625.892578125
1475836190.103,662,4458.685546875
1475836190.10796,665,4802.2260742188
1475836190.1178,670,4567.1455078125
1475836190.27347,747,4380.9990234375
1475836192.44387,878,3930.1965332031
1475836192.4556,885,3985.6843261719
1475836192.5018,906,4125.7485351563
1475836192.55847,932,4018.4057617188
1475836194.12104,1010,4238.0205078125
1475836194.21999,1043,4247.541015625
1475836194.34243,1092,4589.03515625
1475836196.31308,1212,4011.8801269531
1475836196.32225,1217,4014.02734375
1475836196.39385,1249,3926.9660644531
1475836196.46052,1281,4312.5205078125
1475836196.52352,1309,4751.5024414063
1475836198.47665,1378,4419.0053710938
1475836198.60343,1419,4271.314453125
1475836198.62324,1424,5108.3208007813
1475836200.53112,1621,4266.6416015625
1475836200.58069,1643,4361.4594726563
1475836202.52584,1702,4894.8125
1475836202.61306,1744,4295.7329101563
1475836202.72498,1784,4335.5932617188
1475836202.72958,1787,4403.8120117188
1475836202.78987,1813,4526.05078125
1475836202.79579,1816,4116.0727539063
1475836202.90293,1868,4645.4721679688
1475836202.92767,1878,4585.4609375
1475836202.95236,1889,4845.1225585938
1475836204.82042,1939,4368.111328125
1475836206.56925,2027,4949.2021484375
1475836206.80388,2113,4056.8603515625
1475836209.06572,2293,4036.69921875
1475836209.12242,2314,3759.8820800781
1475836209.31276,2401,3883.7385253906
1475836212.76314,2509,3912.7893066406
1475836212.81929,2527,4396.7822265625
1475836212.97935,2591,4404.494140625
1475836212.99281,2596,4721.30078125
1475836213.04633,2620,4135.8173828125
1475836213.13133,2652,3880.5324707031
1475836213.3424,2741,4317.8481445313
1475836215.41809,2840,3892.9565429688
1475836215.48238,2867,4513.66015625
1475836215.5083,2878,4223.2856445313
1475836215.60839,2923,4585.4213867188
1475836219.1292,3034,4484.5454101563
1475836219.48885,3174,3642.8679199219
1475836219.71322,3276,4407.7358398438
1475836221.59325,3320,3718.4499511719
1475836221.59508,3321,3821.9799804688
1475836221.6227,3333,4273.4619140625
1475836221.70215,3366,4097.3413085938
1475836225.57853,3621,4101.6147460938
1475836225.86996,3745,4462.1494140625
1475836225.87164,3746,4361.7573242188
1475836225.88958,3754,4467.7485351563
1475836225.92479,3770,3774.2514648438
1475836226.1046,3849,4495.3154296875
1475836227.89044,3864,3129.515625
1475836227.90546,3869,3665.2021484375
1475836228.16279,3972,4227.9907226563
1475836229.71338,4001,4274.099609375
1475836229.77543,4022,3960.0061035156
1475836230.02271,4112,5387.728515625
1475836232.1405,4207,3647.0358886719
1475836232.25122,4247,4237.2407226563
1475836232.32364,4277,4276.673828125
1475836234.51882,4432,4163.3354492188
1475836234.57734,4448,3706.7377929688
1475836234.6412,4471,4503.6528320313
1475836236.37961,4570,4259.7797851563
1475836236.55055,4642,3969.7358398438
1475836238.56612,4707,3706.4138183594
1475836238.67617,4738,3838.5068359375
1475836239.22597,4875,4185.416015625
1475836239.25378,4886,3807.0886230469
1475836239.38751,4944,5027.57421875
1475836243.01798,5016,4097.7485351563
1475836243.16458,5055,3890.1040039063
1475836243.16857,5057,3742.1069335938
1475836243.28239,5100,3844.3540039063
